intervalNumber	intervalChrom	intervalStart	intervalEnd
1	chr1	1	10000
2	chr1	5001	15000
3	chr1	10001	20000
4	chr1	15001	25000
5	chr1	20001	30000
6	chr1	25001	35000
7	chr1	30001	40000
8	chr1	35001	45000
9	chr1	40001	50000
10	chr1	45001	55000
11	chr1	50001	60000
12	chr1	55001	65000
13	chr1	60001	70000
14	chr1	65001	75000
15	chr1	70001	80000
16	chr1	75001	85000
17	chr1	80001	90000
18	chr1	85001	95000
19	chr1	90001	100000
20	chr1	95001	105000
21	chr1	100001	110000
22	chr1	105001	115000
23	chr1	110001	120000
24	chr1	115001	125000
25	chr1	120001	130000
26	chr1	125001	135000
27	chr1	130001	140000
28	chr1	135001	145000
29	chr1	140001	150000
30	chr1	145001	155000
31	chr1	150001	160000
32	chr1	155001	165000
33	chr1	160001	170000
34	chr1	165001	175000
35	chr1	170001	180000
36	chr1	175001	185000
37	chr1	180001	190000
38	chr1	185001	195000
39	chr1	190001	200000
40	chr1	195001	205000
41	chr1	200001	210000
42	chr1	205001	215000
43	chr1	210001	220000
44	chr1	215001	225000
45	chr1	220001	230000
46	chr1	225001	235000
47	chr1	230001	240000
48	chr1	235001	245000
49	chr1	240001	250000
50	chr1	245001	255000
51	chr1	250001	260000
52	chr1	255001	265000
53	chr1	260001	270000
54	chr1	265001	275000
55	chr1	270001	280000
56	chr1	275001	285000
57	chr1	280001	290000
58	chr1	285001	295000
59	chr1	290001	300000
60	chr1	295001	305000
61	chr1	300001	310000
62	chr1	305001	315000
63	chr1	310001	320000
64	chr1	315001	325000
65	chr1	320001	330000
66	chr1	325001	335000
67	chr1	330001	340000
68	chr1	335001	345000
69	chr1	340001	350000
70	chr1	345001	355000
71	chr1	350001	360000
72	chr1	355001	365000
73	chr1	360001	370000
74	chr1	365001	375000
75	chr1	370001	380000
76	chr1	375001	385000
77	chr1	380001	390000
78	chr1	385001	395000
79	chr1	390001	400000
80	chr1	395001	405000
81	chr1	400001	410000
82	chr1	405001	415000
83	chr1	410001	420000
84	chr1	415001	425000
85	chr1	420001	430000
86	chr1	425001	435000
87	chr1	430001	440000
88	chr1	435001	445000
89	chr1	440001	450000
90	chr1	445001	455000
91	chr1	450001	460000
92	chr1	455001	465000
93	chr1	460001	470000
94	chr1	465001	475000
95	chr1	470001	480000
96	chr1	475001	485000
97	chr1	480001	490000
98	chr1	485001	495000
99	chr1	490001	500000
100	chr1	495001	505000
101	chr1	500001	510000
102	chr1	505001	515000
103	chr1	510001	520000
104	chr1	515001	525000
105	chr1	520001	530000
106	chr1	525001	535000
107	chr1	530001	540000
108	chr1	535001	545000
109	chr1	540001	550000
110	chr1	545001	555000
111	chr1	550001	560000
112	chr1	555001	565000
113	chr1	560001	570000
114	chr1	565001	575000
115	chr1	570001	580000
116	chr1	575001	585000
117	chr1	580001	590000
118	chr1	585001	595000
119	chr1	590001	600000
120	chr1	595001	605000
121	chr1	600001	610000
122	chr1	605001	615000
123	chr1	610001	620000
124	chr1	615001	625000
125	chr1	620001	630000
126	chr1	625001	635000
127	chr1	630001	640000
128	chr1	635001	645000
129	chr1	640001	650000
130	chr1	645001	655000
131	chr1	650001	660000
132	chr1	655001	665000
133	chr1	660001	670000
134	chr1	665001	675000
135	chr1	670001	680000
136	chr1	675001	685000
137	chr1	680001	690000
138	chr1	685001	695000
139	chr1	690001	700000
140	chr1	695001	705000
141	chr1	700001	710000
142	chr1	705001	715000
143	chr1	710001	720000
144	chr1	715001	725000
145	chr1	720001	730000
146	chr1	725001	735000
147	chr1	730001	740000
148	chr1	735001	745000
149	chr1	740001	750000
150	chr1	745001	755000
151	chr1	750001	760000
152	chr1	755001	765000
153	chr1	760001	770000
154	chr1	765001	775000
155	chr1	770001	780000
156	chr1	775001	785000
157	chr1	780001	790000
158	chr1	785001	795000
159	chr1	790001	800000
160	chr1	795001	805000
161	chr1	800001	810000
162	chr1	805001	815000
163	chr1	810001	820000
164	chr1	815001	825000
165	chr1	820001	830000
166	chr1	825001	835000
167	chr1	830001	840000
168	chr1	835001	845000
169	chr1	840001	850000
170	chr1	845001	855000
171	chr1	850001	860000
172	chr1	855001	865000
173	chr1	860001	870000
174	chr1	865001	875000
175	chr1	870001	880000
176	chr1	875001	885000
177	chr1	880001	890000
178	chr1	885001	895000
179	chr1	890001	900000
180	chr1	895001	905000
181	chr1	900001	910000
182	chr1	905001	915000
183	chr1	910001	920000
184	chr1	915001	925000
185	chr1	920001	930000
186	chr1	925001	935000
187	chr1	930001	940000
188	chr1	935001	945000
189	chr1	940001	950000
190	chr1	945001	955000
191	chr1	950001	960000
192	chr1	955001	965000
193	chr1	960001	970000
194	chr1	965001	975000
195	chr1	970001	980000
196	chr1	975001	985000
197	chr1	980001	990000
198	chr1	985001	995000
199	chr1	990001	1000000
200	chr1	995001	1005000
201	chr1	1000001	1010000
202	chr1	1005001	1015000
203	chr1	1010001	1020000
204	chr1	1015001	1025000
205	chr1	1020001	1030000
206	chr1	1025001	1035000
207	chr1	1030001	1040000
208	chr1	1035001	1045000
209	chr1	1040001	1050000
210	chr1	1045001	1055000
211	chr1	1050001	1060000
212	chr1	1055001	1065000
213	chr1	1060001	1070000
214	chr1	1065001	1075000
215	chr1	1070001	1080000
216	chr1	1075001	1085000
217	chr1	1080001	1090000
218	chr1	1085001	1095000
219	chr1	1090001	1100000
220	chr1	1095001	1105000
221	chr1	1100001	1110000
222	chr1	1105001	1115000
223	chr1	1110001	1120000
224	chr1	1115001	1125000
225	chr1	1120001	1130000
226	chr1	1125001	1135000
227	chr1	1130001	1140000
228	chr1	1135001	1145000
229	chr1	1140001	1150000
230	chr1	1145001	1155000
231	chr1	1150001	1160000
232	chr1	1155001	1165000
233	chr1	1160001	1170000
234	chr1	1165001	1175000
235	chr1	1170001	1180000
236	chr1	1175001	1185000
237	chr1	1180001	1190000
238	chr1	1185001	1195000
239	chr1	1190001	1200000
240	chr1	1195001	1205000
241	chr1	1200001	1210000
242	chr1	1205001	1215000
243	chr1	1210001	1220000
244	chr1	1215001	1225000
245	chr1	1220001	1230000
246	chr1	1225001	1235000
247	chr1	1230001	1240000
248	chr1	1235001	1245000
249	chr1	1240001	1250000
250	chr1	1245001	1255000
251	chr1	1250001	1260000
252	chr1	1255001	1265000
253	chr1	1260001	1270000
254	chr1	1265001	1275000
255	chr1	1270001	1280000
256	chr1	1275001	1285000
257	chr1	1280001	1290000
258	chr1	1285001	1295000
259	chr1	1290001	1300000
260	chr1	1295001	1305000
261	chr1	1300001	1310000
262	chr1	1305001	1315000
263	chr1	1310001	1320000
264	chr1	1315001	1325000
265	chr1	1320001	1330000
266	chr1	1325001	1335000
267	chr1	1330001	1340000
