Gene stable ID	Gene name	Gene start (bp)	Gene end (bp)	Chromosome/scaffold name
ENSG00000142611	PRDM16	3069168	3438621	1
ENSG00000142611	PRDM16	3069168	3438621	1
ENSG00000142611	PRDM16	3069168	3438621	1
ENSG00000142611	PRDM16	3069168	3438621	1
ENSG00000142611	PRDM16	3069168	3438621	1
ENSG00000142611	PRDM16	3069168	3438621	1
ENSG00000142611	PRDM16	3069168	3438621	1
ENSG00000142611	PRDM16	3069168	3438621	1
ENSG00000142611	PRDM16	3069168	3438621	1
ENSG00000142611	PRDM16	3069168	3438621	1
ENSG00000157911	PEX10	2403964	2413797	1
ENSG00000157911	PEX10	2403964	2413797	1
ENSG00000157911	PEX10	2403964	2413797	1
ENSG00000157911	PEX10	2403964	2413797	1
ENSG00000157911	PEX10	2403964	2413797	1
ENSG00000157911	PEX10	2403964	2413797	1
ENSG00000157911	PEX10	2403964	2413797	1
ENSG00000157911	PEX10	2403964	2413797	1
ENSG00000157911	PEX10	2403964	2413797	1
ENSG00000142655	PEX14	10472288	10630758	1
ENSG00000142655	PEX14	10472288	10630758	1
ENSG00000142655	PEX14	10472288	10630758	1
ENSG00000142655	PEX14	10472288	10630758	1
ENSG00000149527	PLCH2	2425980	2505532	1
ENSG00000149527	PLCH2	2425980	2505532	1
ENSG00000149527	PLCH2	2425980	2505532	1
ENSG00000149527	PLCH2	2425980	2505532	1
ENSG00000149527	PLCH2	2425980	2505532	1
ENSG00000149527	PLCH2	2425980	2505532	1
ENSG00000149527	PLCH2	2425980	2505532	1
ENSG00000149527	PLCH2	2425980	2505532	1
ENSG00000171621	SPSB1	9292894	9369532	1
ENSG00000171621	SPSB1	9292894	9369532	1
ENSG00000171621	SPSB1	9292894	9369532	1
ENSG00000171621	SPSB1	9292894	9369532	1
ENSG00000142583	SLC2A5	9035106	9088478	1
ENSG00000142583	SLC2A5	9035106	9088478	1
ENSG00000142583	SLC2A5	9035106	9088478	1
ENSG00000142583	SLC2A5	9035106	9088478	1
ENSG00000142583	SLC2A5	9035106	9088478	1
ENSG00000142583	SLC2A5	9035106	9088478	1
ENSG00000142583	SLC2A5	9035106	9088478	1
ENSG00000142583	SLC2A5	9035106	9088478	1
ENSG00000142583	SLC2A5	9035106	9088478	1
ENSG00000142583	SLC2A5	9035106	9088478	1
ENSG00000173614	NMNAT1	9943428	9985501	1
ENSG00000173614	NMNAT1	9943428	9985501	1
ENSG00000173614	NMNAT1	9943428	9985501	1
ENSG00000173614	NMNAT1	9943428	9985501	1
ENSG00000173614	NMNAT1	9943428	9985501	1
ENSG00000204624	DISP3	11479155	11537551	1
ENSG00000204624	DISP3	11479155	11537551	1
ENSG00000204624	DISP3	11479155	11537551	1
ENSG00000142606	MMEL1	2590639	2633016	1
ENSG00000142606	MMEL1	2590639	2633016	1
ENSG00000142606	MMEL1	2590639	2633016	1
ENSG00000142606	MMEL1	2590639	2633016	1
ENSG00000142606	MMEL1	2590639	2633016	1
ENSG00000142606	MMEL1	2590639	2633016	1
ENSG00000142606	MMEL1	2590639	2633016	1
