intervalNumber	intervalChrom	intervalStart	intervalEnd	GWAS_value
212243	chr6	1	10000	0.0
212244	chr6	5001	15000	0.0
212245	chr6	10001	20000	0.0
212246	chr6	15001	25000	0.0
212247	chr6	20001	30000	0.0
212248	chr6	25001	35000	0.0
212249	chr6	30001	40000	0.0
212250	chr6	35001	45000	0.0
212251	chr6	40001	50000	0.0
212252	chr6	45001	55000	0.0
212253	chr6	50001	60000	0.0
212254	chr6	55001	65000	0.0
212255	chr6	60001	70000	0.0
212256	chr6	65001	75000	0.0
212257	chr6	70001	80000	0.0
212258	chr6	75001	85000	0.0
212259	chr6	80001	90000	0.0
212260	chr6	85001	95000	0.0
212261	chr6	90001	100000	0.0
212262	chr6	95001	105000	0.0
212263	chr6	100001	110000	0.0
212264	chr6	105001	115000	0.0
212265	chr6	110001	120000	0.0
212266	chr6	115001	125000	0.0
212267	chr6	120001	130000	0.0
212268	chr6	125001	135000	0.0
212269	chr6	130001	140000	0.0
212270	chr6	135001	145000	0.0
212271	chr6	140001	150000	0.0
212272	chr6	145001	155000	0.0
212273	chr6	150001	160000	0.0
212274	chr6	155001	165000	0.0
212275	chr6	160001	170000	0.0
212276	chr6	165001	175000	0.0
212277	chr6	170001	180000	0.0
212278	chr6	175001	185000	0.0
212279	chr6	180001	190000	0.0
212280	chr6	185001	195000	0.0
212281	chr6	190001	200000	0.0
212282	chr6	195001	205000	0.0
212283	chr6	200001	210000	0.0
212284	chr6	205001	215000	0.0
212285	chr6	210001	220000	0.0
212286	chr6	215001	225000	0.0
212287	chr6	220001	230000	0.0
212288	chr6	225001	235000	0.0
212289	chr6	230001	240000	0.0
212290	chr6	235001	245000	0.0
212291	chr6	240001	250000	0.0
212292	chr6	245001	255000	0.0
212293	chr6	250001	260000	0.0
212294	chr6	255001	265000	0.0
212295	chr6	260001	270000	0.0
212296	chr6	265001	275000	0.0
212297	chr6	270001	280000	0.0
212298	chr6	275001	285000	0.0
212299	chr6	280001	290000	0.0
212300	chr6	285001	295000	0.0
212301	chr6	290001	300000	0.0
212302	chr6	295001	305000	0.0
212303	chr6	300001	310000	0.0
212304	chr6	305001	315000	0.0
212305	chr6	310001	320000	0.0
212306	chr6	315001	325000	0.0
212307	chr6	320001	330000	0.0
212308	chr6	325001	335000	0.0
212309	chr6	330001	340000	0.0
212310	chr6	335001	345000	0.0
212311	chr6	340001	350000	0.0
212312	chr6	345001	355000	0.0
212313	chr6	350001	360000	0.0
212314	chr6	355001	365000	0.0
212315	chr6	360001	370000	0.0
212316	chr6	365001	375000	0.0
212317	chr6	370001	380000	0.0
212318	chr6	375001	385000	0.0
212319	chr6	380001	390000	0.0
212320	chr6	385001	395000	0.0
212321	chr6	390001	400000	0.0
212322	chr6	395001	405000	0.0
212323	chr6	400001	410000	0.0
212324	chr6	405001	415000	0.0
212325	chr6	410001	420000	0.0
212326	chr6	415001	425000	0.0
212327	chr6	420001	430000	0.0
212328	chr6	425001	435000	0.0
212329	chr6	430001	440000	0.0
212330	chr6	435001	445000	0.0
212331	chr6	440001	450000	0.0
212332	chr6	445001	455000	0.0
212333	chr6	450001	460000	0.0
212334	chr6	455001	465000	0.0
212335	chr6	460001	470000	0.0
212336	chr6	465001	475000	0.0
212337	chr6	470001	480000	0.0
212338	chr6	475001	485000	0.0
212339	chr6	480001	490000	0.0
212340	chr6	485001	495000	0.0
212341	chr6	490001	500000	0.0
212342	chr6	495001	505000	0.0
212343	chr6	500001	510000	0.0
212344	chr6	505001	515000	0.0
212345	chr6	510001	520000	0.0
212346	chr6	515001	525000	0.0
212347	chr6	520001	530000	0.0
212348	chr6	525001	535000	0.0
212349	chr6	530001	540000	0.0
212350	chr6	535001	545000	0.0
212351	chr6	540001	550000	0.0
212352	chr6	545001	555000	0.0
212353	chr6	550001	560000	0.0
212354	chr6	555001	565000	0.0
212355	chr6	560001	570000	0.0
212356	chr6	565001	575000	0.0
212357	chr6	570001	580000	0.0
212358	chr6	575001	585000	0.0
212359	chr6	580001	590000	0.0
212360	chr6	585001	595000	0.0
212361	chr6	590001	600000	0.0
212362	chr6	595001	605000	0.0
212363	chr6	600001	610000	0.0
212364	chr6	605001	615000	0.0
212365	chr6	610001	620000	0.0
